 ENERGY RELATIVELY TO THE GROUND STATE: FISSION BARRIER
         r         e       der
     85.50     -2.03     -0.03
     85.60     -2.03     -0.03
     85.70     -2.04     -0.03
     85.80     -2.04     -0.03
     85.90     -2.04     -0.03
     86.00     -2.04     -0.03
     86.10     -2.05     -0.03
     86.20     -2.05     -0.03
     86.30     -2.05     -0.03
     86.40     -2.06     -0.03
     86.50     -2.06     -0.03
     86.60     -2.06     -0.03
     86.70     -2.07     -0.03
     86.80     -2.07     -0.03
     86.90     -2.07     -0.03
     87.00     -2.08     -0.03
     87.10     -2.08     -0.03
     87.20     -2.08     -0.03
     87.30     -2.09     -0.03
     87.40     -2.09     -0.03
     87.50     -2.09     -0.03
     87.60     -2.09     -0.03
     87.70     -2.10     -0.03
     87.80     -2.10     -0.03
     87.90     -2.10     -0.03
     88.00     -2.11     -0.03
     88.10     -2.11     -0.03
     88.20     -2.11     -0.03
     88.30     -2.12     -0.03
     88.40     -2.12     -0.03
     88.50     -2.12     -0.03
     88.60     -2.13     -0.03
     88.70     -2.13     -0.03
     88.80     -2.13     -0.03
     88.90     -2.13     -0.03
     89.00     -2.14     -0.03
     89.10     -2.14     -0.03
     89.20     -2.14     -0.03
     89.30     -2.15     -0.03
     89.40     -2.15     -0.03
     89.50     -2.15     -0.03
     89.60     -2.16     -0.03
     89.70     -2.16     -0.03
     89.80     -2.16     -0.03
     89.90     -2.16     -0.03
     90.00     -2.17     -0.03
     90.10     -2.17     -0.03
     90.20     -2.17     -0.03
     90.30     -2.18     -0.03
     90.40     -2.18     -0.03
     90.50     -2.18     -0.03
     90.60     -2.18     -0.03
     90.70     -2.19     -0.03
     90.80     -2.19     -0.03
     90.90     -2.19     -0.03
     91.00     -2.20     -0.03
     91.10     -2.20     -0.03
     91.20     -2.20     -0.03
     91.30     -2.20     -0.03
     91.40     -2.21     -0.03
     91.50     -2.21     -0.03
     91.60     -2.21     -0.03
     91.70     -2.22     -0.03
     91.80     -2.22     -0.03
     91.90     -2.22     -0.03
     92.00     -2.22     -0.03
     92.10     -2.23     -0.03
     92.20     -2.23     -0.03
     92.30     -2.23     -0.03
     92.40     -2.23     -0.03
     92.50     -2.24     -0.03
     92.60     -2.24     -0.03
     92.70     -2.24     -0.03
     92.80     -2.25     -0.03
     92.90     -2.25     -0.03
     93.00     -2.25     -0.03
     93.10     -2.25     -0.03
     93.20     -2.26     -0.03
     93.30     -2.26     -0.03
     93.40     -2.26     -0.03
     93.50     -2.26     -0.03
     93.60     -2.27     -0.03
     93.70     -2.27     -0.03
     93.80     -2.27     -0.03
     93.90     -2.28     -0.03
     94.00     -2.28     -0.03
     94.10     -2.28     -0.03
     94.20     -2.28     -0.03
     94.30     -2.29     -0.03
     94.40     -2.29     -0.03
     94.50     -2.29     -0.03
     94.60     -2.29     -0.03
     94.70     -2.30     -0.03
